started
2017-1-15T12.12.9.331	Created parser
2017-1-15T12.12.9.331	Assigned names - going to load data
2017-1-15T12.12.9.331	Loading data
2017-1-15T12.12.9.331	Creating stop words manager
2017-1-15T12.12.9.333	Before big loop
2017-1-15T12.12.14.306	Opening sw stream with some words
2017-1-15T12.12.14.307	finalizing stats
2017-1-15T12.12.14.344	At line '53' in file ''	 Word coevolv is in 1 documents
2017-1-15T12.12.14.344	At line '53' in file ''	 Word uia is in 1 documents
2017-1-15T12.12.14.345	At line '53' in file ''	 Word gordenk is in 1 documents
2017-1-15T12.12.14.345	At line '53' in file ''	 Word casterman is in 1 documents
2017-1-15T12.12.14.345	At line '53' in file ''	 Word skjelsbaek is in 1 documents
2017-1-15T12.12.14.345	At line '53' in file ''	 Word shank is in 1 documents
2017-1-15T12.12.14.345	At line '53' in file ''	 Word disengag is in 1 documents
2017-1-15T12.12.14.346	At line '53' in file ''	 Word moravcsik is in 1 documents
2017-1-15T12.12.14.346	At line '53' in file ''	 Word asianpacif is in 1 documents
2017-1-15T12.12.14.346	At line '53' in file ''	 Word andean is in 1 documents
2017-1-15T12.12.14.346	At line '53' in file ''	 Word cone is in 1 documents
2017-1-15T12.12.14.346	At line '53' in file ''	 Word arab is in 1 documents
2017-1-15T12.12.14.347	At line '53' in file ''	 Word krasner is in 1 documents
2017-1-15T12.12.14.347	At line '53' in file ''	 Word northsouth is in 1 documents
2017-1-15T12.12.14.347	At line '53' in file ''	 Word joyner is in 1 documents
2017-1-15T12.12.14.347	At line '53' in file ''	 Word schachter is in 1 documents
2017-1-15T12.12.14.347	At line '53' in file ''	 Word koskenniemi is in 1 documents
2017-1-15T12.12.14.348	At line '53' in file ''	 Word postcold is in 1 documents
2017-1-15T12.12.14.348	At line '53' in file ''	 Word abstinenc is in 1 documents
2017-1-15T12.12.14.348	At line '53' in file ''	 Word axis is in 1 documents
2017-1-15T12.12.14.348	At line '53' in file ''	 Word protector is in 1 documents
2017-1-15T12.12.14.348	At line '53' in file ''	 Word summit is in 1 documents
2017-1-15T12.12.14.348	At line '53' in file ''	 Word yalta is in 1 documents
2017-1-15T12.12.14.349	At line '53' in file ''	 Word dumbarton is in 1 documents
2017-1-15T12.12.14.349	At line '53' in file ''	 Word woodrow is in 1 documents
2017-1-15T12.12.14.349	At line '53' in file ''	 Word humanitarian is in 1 documents
2017-1-15T12.12.14.349	At line '53' in file ''	 Word versaill is in 1 documents
2017-1-15T12.12.14.349	At line '53' in file ''	 Word secretariat is in 1 documents
2017-1-15T12.12.14.350	At line '53' in file ''	 Word forerunn is in 1 documents
2017-1-15T12.12.14.350	At line '53' in file ''	 Word zollverein is in 1 documents
2017-1-15T12.12.14.350	At line '53' in file ''	 Word elbe is in 1 documents
2017-1-15T12.12.14.350	At line '53' in file ''	 Word danub is in 1 documents
2017-1-15T12.12.14.350	At line '53' in file ''	 Word navig is in 1 documents
2017-1-15T12.12.14.351	At line '53' in file ''	 Word rhine is in 1 documents
2017-1-15T12.12.14.351	At line '53' in file ''	 Word littor is in 1 documents
2017-1-15T12.12.14.351	At line '53' in file ''	 Word woolf is in 1 documents
2017-1-15T12.12.14.351	At line '53' in file ''	 Word steamship is in 1 documents
2017-1-15T12.12.14.351	At line '53' in file ''	 Word 18841885 is in 1 documents
